sku,url,price,shipping_price,quantity,shipping_days,supplier,variation,errors
sheva147,https://www.ebay.com/itm/383864721433,24.97,5.0,100,6days,Zoro Tools,false,[]
sheva148,https://www.ebay.com/itm/131416289082,10.98,3.99,42,11days,goodplace2shop,false,[]
sheva149,https://www.ebay.com/itm/134383189071,50.99,11.95,1,11days,goodplace2shop,false,[]
sheva150,https://www.ebay.com/itm/334924108204,22.49,5.0,96,6days,Zoro Tools,false,[]
sheva151,https://www.ebay.com/itm/143368972255,30.78,0.0,5,7days,JB Tool Sales,false,[]
sheva152,https://www.ebay.com/itm/144052115229,27.99,0.0,27,9days,JB Tool Sales,false,[]
sheva153,https://www.ebay.com/itm/144052115229,27.99,0.0,27,9days,JB Tool Sales,false,[]
sheva154,https://www.ebay.com/itm/151318825938,24.38,0.0,1164,10days,ReVolt Supply,false,[]
sheva155,https://www.ebay.com/itm/151319424945,21.46,0.0,808,10days,ReVolt Supply,false,[]
sheva156,https://www.ebay.com/itm/151319472527,68.77,0.0,46,10days,ReVolt Supply,false,[]
sheva157,https://www.ebay.com/itm/151320536651,21.46,0.0,751,10days,ReVolt Supply,false,[]
sheva158,https://www.ebay.com/itm/151943833640,42.5,0.0,3475,10days,ReVolt Supply,false,[]
sheva159,https://www.ebay.com/itm/151943937566,289.0,0.0,340,11days,ReVolt Supply,false,[]
sheva160,https://www.ebay.com/itm/152252879612,7.5,0.0,996,10days,ReVolt Supply,false,[]
sheva161,https://www.ebay.com/itm/152489328098,7.8,0.0,1884,10days,ReVolt Supply,false,[]
sheva162,https://www.ebay.com/itm/152490371813,21.0,0.0,111,10days,ReVolt Supply,false,[]
sheva163,https://www.ebay.com/itm/153190758974,41.99,0.0,6,11days,Edmondson Supply,false,[]
sheva164,https://www.ebay.com/itm/153430798761,45.99,0.0,2,11days,Edmondson Supply,false,[]
sheva165,https://www.ebay.com/itm/153666845259,9.99,0.0,2,11days,Edmondson Supply,false,[]
sheva166,https://www.ebay.com/itm/154051375932,12.99,0.0,12,11days,Edmondson Supply,false,[]
sheva167,https://www.ebay.com/itm/154218041419,19.55,0.0,14,11days,Edmondson Supply,false,[]
sheva168,https://www.ebay.com/itm/154732287201,22.99,0.0,2,11days,Edmondson Supply,false,[]
sheva169,https://www.ebay.com/itm/154747973972,59.97,0.0,9,11days,Edmondson Supply,false,[]
sheva170,https://www.ebay.com/itm/144717257665,18.1,0.0,1,7days,JB Tool Sales,false,[]
sheva171,https://www.ebay.com/itm/155123317838,19.99,0.0,1,11days,Edmondson Supply,false,[]
sheva172,https://www.ebay.com/itm/155175756065,8.99,0.0,2,11days,Edmondson Supply,false,[]
sheva173,https://www.ebay.com/itm/155175759600,9.99,0.0,6,11days,Edmondson Supply,false,[]
sheva174,https://www.ebay.com/itm/155182824968,41.99,0.0,1,11days,Edmondson Supply,false,[]
sheva175,https://www.ebay.com/itm/155183019798,10.49,0.0,10,11days,Edmondson Supply,false,[]
